InpIndx,loc,Distance,Level,AvgDia,Category
82,0.059,50.0,2,0.29,Basal
9,0.401,50.0,2,0.29,Basal
36,0.411,50.0,2,0.58,Basal
65,0.25,50.0,2,0.58,Basal
73,0.534,50.0,2,0.88,Basal
83,0.464,50.0,2,0.88,Basal
39,0.52,50.0,3,0.88,Basal
26,0.124,50.0,3,0.88,Basal
29,0.176,50.0,4,0.88,Basal
55,0.187,50.0,4,0.88,Basal
191,0.234,100.0,3,0.58,Basal
192,0.28,100.0,3,0.58,Basal
76,0.295,100.0,4,0.29,Basal
49,0.878,100.0,4,0.29,Basal
56,0.875,100.0,5,0.29,Basal
31,0.076,100.0,5,0.29,Basal
69,0.451,150.0,3,0.29,Basal
37,0.877,150.0,3,0.29,Basal
37,0.501,120.0,3,0.29,Mid
69,0.16,120.0,3,0.29,Mid
191,0.788,120.0,3,0.58,Mid
192,0.945,120.0,3,0.58,Mid
90,0.085,200.0,6,0.88,Mid
178,0.572,200.0,6,0.88,Mid
179,0.596,240.0,7,0.58,Mid
180,0.941,240.0,7,0.58,Mid
168,0.737,320.0,7,0.29,Mid
169,0.442,320.0,7,0.29,Mid
109,0.905,360.0,9,0.88,Mid
107,0.023,360.0,9,0.88,Mid
113,0.308,360.0,10,0.59,Mid
114,0.324,360.0,10,0.59,Mid
113,0.816,400.0,10,0.59,Mid
114,0.858,400.0,10,0.59,Mid
124,0.048,1000.0,12,0.77,Api
145,0.45,1000.0,12,0.77,Api
131,0.04,1000.0,13,0.26,Api
132,0.021,1000.0,13,0.26,Api
145,0.738,1050.0,12,0.77,Api
124,0.291,1050.0,12,0.77,Api
141,0.359,1100.0,14,0.51,Api
159,0.579,1100.0,14,0.51,Api
148,0.147,1150.0,14,0.51,Api
147,0.09,1150.0,14,0.51,Api
162,0.764,1150.0,15,0.29,Api
161,0.142,1150.0,15,0.29,Api
154,0.79,1200.0,14,0.26,Api
128,0.053,1200.0,14,0.26,Api
148,0.641,1200.0,14,0.51,Api
147,0.392,1200.0,14,0.51,Api
